sku,item,field,erp_current,her_value,action
HC018-1,Healthy Care High Strength Vitamin K2 + Vitamin D3 90 Hard Capsules,Brand,,Healthy Care,FILL
HC019-1,Healthy Care  Magnesium Glycinate 120 Tablets,Brand,,Healthy Care,FILL
HC020-1,Healthy Care Cod Liver Oil 1000mg  200 Soft Capsules,Brand,,Healthy Care,FILL
HC021-1,Healthy Care Ultra Calcium + Vitamin D 150 film coated tablets,Brand,,Healthy Care,FILL
HC022-1,Healthy Care Wild Krill Oil 1500mg 30 Soft Capsules,Brand,,Healthy Care,FILL
JE003-1,Jointace Chondroitin & Glucosamine 30 Tablets,Brand,,Jamieson,FILL
JS016-1,Jamieson Apple Cider Vinegar + Chromium 120 Caplets,Brand,,Jamieson,FILL
JS017-1,Jamieson Omega 3 Select 1000mg 200 Softgels,Brand,,Jamieson,FILL
KS004-1,Kirkland Minoxidil 5% Extra Strength Hair Regrowth Treatment for Men,Brand,,Kirkland Signature,FILL
KS008-1,Kirkland Signature Quick Dissolve B-12 5000 mcg 300 Tablets,Brand,,Kirkland Signature,FILL
ME002-1,Menopace Original 30 Tablets,Brand,,Menopace,FILL
ME003-1,Menopace Original 90 Tablets,Brand,,Menopace,FILL
NB013-1,Natures Bounty Time Release 5 - HTP 200mg 45 Tablets,Barcode,,029537544269,FILL
NB019-1,Nature’s Bounty Milk Thistle 1000mg 200 Softgels,Brand,,Natures Bounty,FILL
NC017-1,"Neocell Super Collagen + Vitamin C Type 1 & 3 for Skin, Hair & Nails 360 Caplets",Barcode,,016185130166,FILL
NC018-1,"Neocell Keratin Hair Volumizer with Collagen, Amla and Vitamin C 60 Capsules",Barcode,,016185129290,FILL
NC024-1,Neocell Grassfed Collagen Peptides + Vitamin C 250 Tablets,Barcode,,016185128965,FILL
NC031-1,Neocell Super Collagen Peptides Unflavored 21.1 oz 600 G,Barcode,,016185132597,FILL
NC038-1,Neocell Hair Skin Nails Minis Multi Collagen Bio-Peptides 150 Softgels,Brand,,Neocell,FILL
NC039-1,Neocell Multi Collagen Bio Peptides 60 Caplets,Brand,,Neocell,FILL
NC040-1,Neocell Collagen Bio Peptides Powder 567g (20 oz),Brand,,Neocell,FILL
NC041-1,Neocell Collagen Bio-Peptides Powder 283g (10 oz),Brand,,Neocell,FILL
NC042-1,Neocell Multi Collagen Bio Peptides 90 Caplets,Brand,,Neocell,FILL
NC043-1,Neocell Creatine Monohydrate Powder 285g (10oz),Brand,,Neocell,FILL
NT020-1,Natures Way High Strength K2 + D3 120 Soft Capsules,Brand,,Natures Way,FILL
NTC02-1,Natural Calm Magnesium Powder Orange Flavor 226g,Brand,,Natural Calm,FILL
NTC04-1,Natural Calm Magnesium Powder Original Unflavored 226g,Brand,,Natural Calm,FILL
NU001-2,Nutrimea Active Burner 60 Capsules,Barcode,,5404024901599,FILL
NU002-1,Nutrimea Biotin Vitamin B8 120 Vegan Capsules,Brand,,Nutrimea,FILL
NU003-1,Nutrimea Zinc 120 Capsules,Brand,,Nutrimea,FILL
NU004-1,Nutrimea Multivitamins & Minerals 60 Capsules,Brand,,Nutrimea,FILL
NU005-1,Nutrimea Marine Collagen 90 Capsules,Brand,,Nutrimea,FILL
NU005-1,Nutrimea Marine Collagen 90 Capsules,Barcode,,X0018XPU4H,FILL
NW016-1,Now Vitamin D3 2000 IU 30 Softgels,Barcode,,733739003553,FILL
NW017-1,Now Vitamin D3 1000 IU 180 Softgels,Barcode,,733739003652,FILL
NW021-1,Now Eve Womens Multivitamin 90 Softgels,Barcode,,733739038029,FILL
NW024-2,Now Niacinamide 500mg 100 Veg Capsules,Barcode,,733739004789,FILL
NW028-2,Now Vitamin K-2 100mcg 100 Veg Capsules,Barcode,,733739009906,FILL
NW031-1,Now B-12 1000mcg 100 Lozenges,Barcode,,733739804662,FILL
NW035-2,Now Glutathione 250mg 60 Capsules,Barcode,,733739000965,FILL
NW049-2,Now GABA Extra Strength 750mg 100 Veg Capsules,Brand,Supplement Vault.Lk,Now,CORRECT
NW049-2,Now GABA Extra Strength 750mg 100 Veg Capsules,Barcode,,733739000897,FILL
NW054-1,Now Vitamin C 500 250 Tablets,Barcode,,733739006721,FILL
NW058-1,Now CoQ10 100 mg with Hawthorn Berry 30 Veg Capsules,Barcode,,733739032102,FILL
NW065-1,NOW Vitamin D-3 5000 IU 120 Chewables,Brand,,Now,FILL
NW066-1,NOW BioCell Collagen Hydrolyzed Type II 120 Capsules,Brand,,Now,FILL
OR001-1,Orgain Collagen Peptides Unflavored 454g (16oz),Brand,,Orgain,FILL
OR002-1,Orgain Organic Protein 50 Superfoods  Powder Creamy Chocolate Fudge Protein Powder 1.2kg (42.3oz),Brand,,Orgain,FILL
OS001-1,Osteocare Original  30 Tablets,Brand,,Osteocare,FILL
OS002-1,Osteocare Original Calcium & Vitamin D 90 Tablets,Brand,,Osteocare,FILL
RE001-1,Relumins Advance White 1650mg Glutathione Complex 90 Capsules,Barcode,,855681006038,FILL
RE007-1,Relumins Advance Nutrition Max Dose Glutathione 60 Capsules,Barcode,,855681006014,FILL
RE008-1,Relumins Advance Nutrition Gluta-1000 60 Capsules,Barcode,,855681006298,FILL
RW001-1,RIWAY PURTIER Placenta 7th Edition,Brand,,RIWAY PURTIER,FILL
SC001-1,Seven Seas Omega-3 & Multivitamins Man 30 Capsules + 30 Tablets,Brand,,Seven Seas,FILL
SC002-1,Seven Seas JointCare Essential with Omega-3 30 Capsules,Brand,,Seven Seas,FILL
SC003-1,Seven Seas Complete Multivitamins Adult 28 Tablets,Brand,,Seven Seas,FILL
SC004-1,Seven Seas JointCare Collagen - Duo Pack 30 Capsules+30 Tablets,Brand,,Seven Seas,FILL
SC005-1,Seven Seas Joint Care + Turmeric  Duo Pack 30 Capsules & 30 Tablets,Brand,,Seven Seas,FILL
SC006-1,Seven Seas Women 50+ Complete Multivitamins 28 Tablets,Brand,,Seven Seas,FILL
SC007-1,Seven Seas Omega-3 & Multivitamins Men 50+ 30 Day Duo Pack,Brand,,Seven Seas,FILL
SW007-1,Swisse Ultiboost Odourless High Strength Wild Fish Oil 1500mg 400 Capsules,Barcode,,9311770592475,FILL
SW020-1,Swisse UltiBoost Magnesium Glycinate 120 Tablets,Brand,,Swisse,FILL
SW021-1,Swisse Ultiboost Calcium + Vitamin D 150 Tablets,Barcode,,9311770615068,FILL
SW023-2,Swisse Ultivite Women’s Daily Multivitamin 120 Tablets,Brand,,Swisse,FILL
SW033-1,"Swisse Ultiboost Magnesium, Calcium + D3 120 Tablets",Barcode,,9311770612524,FILL
SW037-2,Swisse Ultiboost High Strength Vitamin C 1000mg 150 Tablets,Brand,,Swisse,FILL
SW038-2,Swisse Men's Ultivite Multivitamin 120 Tablets,Brand,,Swisse,FILL
TE001-1,Tesco Omega 3 Fish Oil 90 Capsules,Brand,,Tesco,FILL
TE002-1,Tesco Health Multivitamins & Cod Liver Oil 120 Capsules,Brand,,Tesco,FILL
TQ001-1,Toniiq Glutathione 120 Capsules,Barcode,,858111007599,FILL
UA002-1,Ultra Magnesium 60 Tablets,Brand,,Ultra Magnesium,FILL
VE002-1,Visionace Original Normal VIsion 30 Tablets,Brand,,Visionace,FILL
VP001-2,Vital Proteins Marine Collagen Peptides 12g 221g,Brand,,Vital Proteins,FILL
VP004-3,Vital Proteins Beauty Collagen  Powder Strawberry Lemon 271g,Brand,,Vital Proteins,FILL
VP008-1,Vital Proteins Collagen Peptides Advanced + Hyaluronic Acid + Vitamin C Vanilla Flavor 21 OZ 598g,Barcode,,X004H8GS8F,FILL
VP011-1,Vital Proteins Collagen Peptides 24 oz 680g,Barcode,,857273008666,FILL
VP014-1,Vital Proteins Beef Liver 120 Capsules,Brand,,Vital Proteins,FILL
VP015-1,Vital Proteins Advanced Collagen Peptides + Colostrum + Prebiotic Fiber 5oz,Brand,,Vital Proteins,FILL
VP017-1,Vital Proteins Collagen Peptides Powder Strawberry Lemonade 322g,Brand,,Vital Proteins,FILL
VP018-1,Vital Proteins Advanced Collagen Peptides + Creatine Unflavored 288g (10.1oz),Brand,,Vital Proteins,FILL
VP019-1,Vital Proteins Advanced Collagen Peptides + Creatine Strawberry Lemon 342g (12oz),Brand,,Vital Proteins,FILL
VP020-1,Vital Proteins Collagen Peptides Unflavoured Powder 650g,Brand,,Vital Proteins,FILL
VP021-1,Vital Proteins Collagen Peptides Powder Strawberry Lemonade 782g (27.5oz),Brand,,Vital Proteins,FILL
VP022-1,Vital Proteins Collagen Peptides unflavoured 284g,Brand,,Vital Proteins,FILL
VS001-3,Viviscal Hair Growth Supplement 60 Tablets,Brand,,Viviscal,FILL
VS001-4,Viviscal Hair Growth Supplement for Women 60 Tablets,Brand,,Viviscal,FILL
VS003-1,Viviscal Hair Growth Supplement 180 Tablets,Brand,,Viviscal,FILL
WG001-1,Wagner Bioactive Collagen 60 Tablets,Barcode,,9400581050981,FILL
WG010-1,Wagner Lecithin 1200mg Liver Health Support 100 Capsules,Barcode,,9400581048155,FILL
WG013-1,Wagner Super Bio Magnesium 100 Tablets,Barcode,,9400581048209,FILL
WG018-1,Wagner Vitamin B12 High Strength 1000mcg,Brand,,Wagner,FILL
WN001-1,Webber Naturals Collagen 30 Anti-Wrinkle 150g,Brand,,Webber Naturals,FILL
WN020-1,Webber Naturals B12 1000 mcg Methylcobalamin 150 Sublingual Tablet,Barcode,,625273030778,FILL
WN023-1,"Webber Naturals Omega 3-6-9 1200 mg Fish, Flax & Borage 280 Softgels",Barcode,,625273039504,FILL
YT004-1,Youtheory Collagen Unflavored Powder 231g,Barcode,,817598000028,FILL
YT007-1,Youtheory Beauty Powder 176g,Brand,,Youtheory,FILL
YT011-1,Youtheory Ashwagandha 1000mg 180 Vegetarian Capsules,Brand,,Youtheory,FILL
YT013-1,Youtheory Vitamin B12 B6 Gummies 60 Gummies,Brand,,Youtheory,FILL
YT014-1,Youtheory Ashwagandha Gummies Zero Sugar 60 Gummies,Brand,,Youtheory,FILL
